杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0,1.2340572,1.4169115,0.9926312,0,0,0,0,0.91032225,0,0,0,0,0,1.3852621,1.25752,1.7392652,4.454263,1
0,0.87475836,1.1704912,0.89890385,0,0,0,0,0.76502043,0,0,0,0,0,1.8382041,1.258823,1.825824,4.756564,1
0,1.7706602,1.6665344,0.9746996,0,0,0,0,0,0,0,0,0,0,1.490658,2.3859897,1.1368675,4.591618,1
0,1.8619671,1.8349866,1.0594404,0,0,0,0,0,0,0,0,0,0,1.758529,2.2248673,1.092864,5.0740333,1
0,0.9954314,0.9343692,1.5417621,0,0,0.19434643,0,0.6876601,0,0,0,0,0,1.5479888,1.0073724,2.0348015,4.087441,1
0,0.97864544,1.112327,0.60131973,0,0,0.16329426,0,0,0,0,0,0,0,0.86331713,3.113158,1.7431314,4.5296664,1
0,0.7225417,1.1262227,0.8400574,0,0,0.045719385,0,0,0,0,0,0,0,2.3399737,4.314326,2.28375,6.1923585,1
0,0.72072256,1.0367396,0.5929333,0,0,0,0,0,0,0,0,0,0,2.6955228,3.205247,1.6444371,5.6708465,1
0,0.49180913,1.3275765,0,0,0,0,0,0,0,0,0,0,0,1.4735839,2.644434,0.63680834,5.398701,1
0,0.38238332,0.89321256,0.8134271,0,0,0,0,0.029698709,0,0,0,0,0,3.2859156,1.3781266,1.6451542,6.0399413,1
0,0.3832476,0.9586762,0.2830552,0,0,0,0,0,0,0,0,0,0,2.4331365,2.6655607,1.7679489,5.7361283,1
0,0.2273264,0.87767005,0,0,0,0,0,0,0,0,0,0,0,2.603572,1.1650066,1.0309756,5.1299605,1
0,0,0.56682944,0.11794883,0,0,0,0,0.43393227,0,0,0,0,0,1.7636038,1.741849,2.0488882,4.860702,1
0,0,0.61633193,0.12955743,0,0,0.000761151,0,0.41994658,0,0,0,0,0,1.420303,2.9443707,2.3672295,5.308421,1
0,0,0.58928776,0,0,0,0.001594365,0,0,0,0,0,0,0,1.0198185,3.388564,1.5484328,4.952721,1
0,0,0.3510357,0,0,0,0.3310799,0,0,0,0,0,0,0,1.5856062,3.22431,2.0084267,5.019257,1
0,1.3850147,1.5143635,1.8389866,0,0,0,0,1.0081781,0,0,0,0,0,2.4880416,1.7251797,2.0897813,5.8619943,1
0,1.5884646,1.8032758,1.6260154,0,0,0,0,1.6586884,0,0,0,0,0,1.4575591,0.941425,1.9612278,4.959005,1
0,1.4230489,1.8128704,1.6225574,0,0,0,0,2.0323086,0,0,0,0,0,1.5963427,0.7905326,2.1585255,5.2768564,1
0,0.9402361,1.2609473,2.0206985,0,0,0.09470999,0,0.93723077,0,0,0,0,0,2.9480505,3.917466,2.9147372,6.7345796,1
0,0.71493316,1.0981447,1.199992,0,0,0.05742085,0,0.13013554,0,0,0,0,0,2.9166093,3.644434,2.2999167,6.310989,1
0,1.0280375,1.1543733,0.83786297,0,0,0.40610784,0,0,0,0,0,0,0,2.4394255,3.045076,1.2684041,5.2583346,1
0,0.9161675,0.6398581,2.1970482,0,0,1.7902298,0,0.008347038,0,0,0,0,0,0.9877893,3.6023855,2.8171265,3.9111145,1
0,0.7790629,0.7091406,2.244171,0,0,1.6174779,0,0,0,0,0,0,0,2.6537905,4.132284,2.6360397,5.534982,1
0,0.7844282,0.77144885,1.6559434,0,0,1.0809491,0,0,0,0,0,0,0,1.8027244,3.19578,2.4273329,4.749261,1
0,0.34107623,0.64560854,1.0663364,0,0,0.87834907,0,0.1167338,0,0,0,0,0,1.3596789,3.826622,2.668142,5.0657043,1
0,0.336666,1.2566537,0,0,0,0,0,0,0,0,0,0,0,1.1081606,2.9198422,0.78663665,5.2882156,1
0,0.25262368,1.1347892,0,0,0,0,0,0,0,0,0,0,0,2.1999753,2.6224484,1.4859816,5.7936773,1
0,0.3470938,0.89044034,0.7589083,0,0,0,0,1.4076954,0,0,0,0,0,1.6921072,0.633454,2.230514,4.567497,1
0,0.25817874,0.88461065,0.5122464,0,0,0,0,1.112215,0,0,0,0,0,1.1107038,2.734341,2.5800147,5.1289763,1
0,0.6347991,1.340587,0.20025092,0,0,0,0,0.80285436,0,0,0,0,0,1.5683129,2.1523004,1.8426671,5.492013,1
0,0.43503037,1.0588617,0.10727787,0,0,0,0,0.20361567,0,0,0,0,0,1.1829132,3.88312,2.1481318,5.6504884,1
0,0.36090708,0.71044886,1.0602523,0,0,0,0,0.37117004,0,0,0,0,0,2.8325605,1.4093084,2.059146,5.486157,1
0,0.3230965,0.62286687,0.54380643,0,0,0.0975351,0,0,0,0,0,0,0,2.4151096,1.8072147,1.7769592,4.866105,1
0,1.0138139,1.3959174,1.7168875,0,0,0,0,1.8232563,0,0,0,0,0,1.3393428,3.276217,3.1190171,5.5278807,1
0,0.8848684,1.5869391,1.3394254,0,0,0,0,3.406404,0,0,0,0,0,0,2.6463056,3.5240865,4.8591523,1
0,0.9535074,1.8473866,2.5776806,0,0,0,0,4.9093304,0,0,0,0,0,1.7289284,0.618351,3.9344368,6.2647786,1
0,1.1645997,1.6727945,1.3991687,0,0,0,0,2.0560544,0,0,0,0,0,1.1351124,2.7675643,2.7692525,5.316224,1
0,1.2479438,1.6719813,1.5475365,0,0,0,0,2.2142346,0,0,0,0,0,1.340474,0.908845,2.4245994,5.009275,1
