杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0.050060064,1.3601186,1.0238432,1.5276691,0,0.1077164,0,0,0.75736177,0,0,0,0,0,1.4080313,6.4338026,0,4.185755,1
0,0.5653606,1.3942267,1.3992385,0,0.057268724,0,0,0.55513525,0,0,0,0,0,2.0355747,6.4206576,0,4.412918,1
0,3.3353152,0,0.72922564,0,0.22585033,0,0,0.30920792,0,0,0,0,0,1.3617202,7.1711483,0,4.8103657,1
0,3.7867477,0,0.68621886,0,0.35012907,0,0,0.47849578,0,0,0,0,0,1.2811724,7.3891845,0,5.2306747,1
0,1.8071735,0.08133572,0.66231364,0,0.066130266,0,0,0,0,0,0,0,0,1.8245394,6.044507,0,4.1042824,1
0.052106902,1.9749501,0.12668578,0.36242718,0,0.05421461,0,0,0.28417587,0,0,0,0,0,1.0209199,7.7639995,0,4.741805,1
0.004802764,1.185755,0.9984104,0.8815584,0,0.06374347,0,0,0.34076077,0,0,0,0,0,2.3869,9.316971,0,6.1343765,1
0,0.8719708,1.0524497,1.2264297,0,0,0,0,0,0,0,0,0,0,3.2429075,8.207302,0,5.331727,1
0.072301924,0.31298593,1.3051617,0.36220098,0,0.1285424,0,0.7455753,0.7183407,0,0,0,0,0,1.2034018,7.586655,0,5.215389,1
0,0.003879428,1.2681928,0.6172736,0,0.13301176,0,1.1991768,0.11374627,0,0,0,0,0,3.558908,6.5725865,0,5.6523743,1
0,0,1.442099,0.30527234,0,0.023883067,0,1.7802696,0.19828667,0,0,0,0,0,2.4697485,7.795362,0,5.579587,1
0,0,0.6521828,0,0,0.03861651,0,2.9079013,0,0,0,0,0,0,2.6843047,6.3357973,0,5.187278,1
0,0,0.94108015,0,0,0,0,3.6006541,0,0,0,0,0,0,2.1968567,6.797216,0,5.0128646,1
0,0,0.7839326,0,0,0.05577354,0,2.7743032,0.059803843,0,0,0,0,0,1.4292773,7.890076,0,5.6548104,1
0,0,0.82670087,0,0,0,0,1.7740132,0,0,0,0,0,0,1.6064544,8.064116,0,5.016708,1
0,0.16243635,0.7172649,0,0,0,0,0.96038973,0,0,0,0,0,0,2.2451868,8.0896635,0,4.960909,1
0,2.371321,0.5450528,1.7504905,0,0.39015055,0,0,1.0208011,0,0,0,0,0,2.9917166,6.4508395,0,5.701181,1
0,1.8177629,1.0971437,1.6628935,0,0.49453884,0,0,1.9841348,0,0,0,0,0,1.4886615,5.681278,0,5.2212744,1
0,1.1615771,1.7603061,1.8693374,0,0.5136156,0,0,2.4343946,0,0,0,0,0,1.2273,5.8105597,0,5.344929,1
0,1.2228395,1.4622062,1.9381214,0,0.094536826,0,0,0.5576198,0,0,0,0,0,3.2434497,9.159507,0,6.252713,1
0,0.09380028,2.147299,2.0110817,0,0,0,0,0.5105193,0,0,0,0,0,3.2393606,8.753083,0,5.7518272,1
0.051024497,0.030203193,2.018336,1.7195836,0,0,0,0,0.59096223,0,0,0,0,0,2.4219637,7.9454746,0,4.998793,1
0.2661596,0,2.2379313,1.5549929,0,0,0,0,0.83032393,0,0,0,0,0,1.1182134,8.310758,0,4.2342386,1
