杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0,0,2.6218214,0,0,0.09013936,0,0,0,0,3.5981631,0.79487103,0,0,3.8094697,3.8213322,8.850534,5.6975837,2
0,0,2.004865,0,0,0.058411203,0,0,0,0,2.7415886,0.6424761,0,0,2.9065928,2.92564,6.645224,4.374578,2
0,0,1.8402057,0,0,0.034410045,0,0,0,0,2.4864357,0.6309085,0,0,2.7374368,2.7311919,6.2054315,4.207723,2
0,0,2.1421072,0,0,0.09388171,0,0,0,0,2.9628131,0.64345056,0,0,3.1706743,3.1933837,7.282539,4.7354975,2
0,0,1.7117091,0,0,0.07122342,0,0,0,0,2.3547018,0.5455567,0,0,2.591374,2.608211,5.86308,3.936117,2
0,0,2.0559943,0,0,0.06771788,0,0,0,0,2.821022,0.6520843,0,0,3.0814552,3.0798519,7.027906,4.649543,2
0,0,2.3961804,0,0,0.08193867,0,0,0,0,3.2904718,0.7356836,0,0,3.5089555,3.5182283,8.10138,5.255548,2
0,0,2.1485763,0,0,0.08038752,0,0,0,0,2.9497442,0.66426325,0,0,3.1479273,3.169778,7.2454987,4.7368402,2
0,0,2.3496678,0,0,0.061180815,0,0,0,0,3.1983302,0.7500526,0,0,3.416305,3.4202375,7.88768,5.166544,2
0,0,2.3645723,0,0,0.07808471,0,0,0,0,3.2385557,0.731106,0,0,3.4264045,3.4444978,7.9262576,5.1438127,2
0,0,2.1773422,0,0,0.10071104,0,0,0,0,3.0140502,0.6449186,0,0,3.1874957,3.2226846,7.3500457,4.7498345,2
0,0,2.1118796,0,0,0.075077556,0,0,0,0,2.8951957,0.6625268,0,0,3.1414895,3.1495547,7.2046294,4.7487698,2
0,0,1.8738282,0,0,0.12504429,0,0,0,0,2.6328816,0.522436,0,0,2.790944,2.8478389,6.3958135,4.127372,2
0,0,1.8515606,0,0,0.08965641,0,0,0,0,2.5628748,0.5668185,0,0,2.8307872,2.8452997,6.4365206,4.274019,2
0,0,2.166755,0,0,0.068755865,0,0,0,0,2.965197,0.69066215,0,0,3.293006,3.2753818,7.526727,4.9984474,2
0,0,2.015728,0,0,0.06210308,0,0,0,0,2.748714,0.6520982,0,0,3.0155802,3.016067,6.8924017,4.596295,2
0,0,2.1225924,0,0,0.054788664,0,0,0,0,2.8936963,0.6952294,0,0,3.2514462,3.2195528,7.4004054,4.957136,2
0,0,2.1235433,0,0,0.08373297,0,0,0,0,2.92021,0.6543304,0,0,3.1493196,3.1654284,7.234138,4.7433004,2
0,0,2.3005614,0,0,0.089467466,0,0,0,0,3.1723711,0.6952805,0,0,3.3677106,3.3873267,7.764281,5.0235324,2
0,0,2.466138,0,0,0.06531443,0,0,0,0,3.3656733,0.78032213,0,0,3.6288714,3.6181517,8.370457,5.471209,2
0,0,2.2719514,0,0,0.06428352,0,0,0,0,3.0988004,0.7236702,0,0,3.3403897,3.340961,7.6885495,5.054004,2
0,0,1.9931656,0,0,0.08758413,0,0,0,0,2.7491016,0.60888827,0,0,2.9547534,2.9813678,6.771844,4.444028,2
0,0,1.8062794,0,0,0.062260143,0,0,0,0,2.4748333,0.5829943,0,0,2.6955767,2.7088475,6.115526,4.0884495,2
0,0,1.8128471,0,0,0.076359496,0,0,0,0,2.495346,0.57000047,0,0,2.7315474,2.7490354,6.2085176,4.138044,2
0,0,2.3066099,0,0,0.08323094,0,0,0,0,3.1811028,0.7049682,0,0,3.4267216,3.4275846,7.8650227,5.114481,2
0,0,2.0183825,0,0,0.049012065,0,0,0,0,2.747976,0.66304785,0,0,2.982098,2.9800963,6.7984457,4.525547,2
0,0,1.7527674,0,0,0.041017912,0,0,0,0,2.3831182,0.59039915,0,0,2.5820432,2.5905406,5.835405,3.933001,2
0,0,2.2625513,0,0,0.08424361,0,0,0,0,3.1234272,0.68467575,0,0,3.278812,3.3032203,7.545732,4.8642473,2
0,0,2.2378905,0,0,0.039370872,0,0,0,0,3.0352545,0.7462377,0,0,3.3706946,3.3330894,7.689438,5.136471,2
0,0,2.2348692,0,0,0.03569615,0,0,0,0,3.0258946,0.74815834,0,0,3.325562,3.295736,7.5983605,5.066773,2
0,0,1.726255,0,0,0.08347067,0,0,0,0,2.390778,0.5304868,0,0,2.5779858,2.610981,5.848823,3.8746667,2
0,0,2.4485548,0,0,0.090938754,0,0,0,0,3.38007,0.7353721,0,0,3.5787039,3.591697,8.259977,5.313096,2
0,0,2.222124,0,0,0.043908328,0,0,0,0,3.0154898,0.7361865,0,0,3.3330908,3.303919,7.6158233,5.079067,2
0,0,2.353122,0,0,0.07988076,0,0,0,0,3.233,0.7257115,0,0,3.4757996,3.4778852,8.002203,5.210025,2
0,0,1.9857606,0,0,0.09320749,0,0,0,0,2.7445505,0.5972803,0,0,2.9062362,2.94681,6.6772695,4.3525743,2
0,0,1.9416671,0,0,0.042975113,0,0,0,0,2.6279685,0.6528732,0,0,2.8840685,2.8801477,6.572896,4.4256897,2
0,0,2.3753867,0,0,0.10658257,0,0,0,0,3.2935739,0.6935568,0,0,3.4510965,3.4854486,7.9846754,5.1053247,2
0,0,2.1220753,0,0,0.08708579,0,0,0,0,2.9206088,0.6442304,0,0,3.0525293,3.0948107,7.047526,4.567792,2
0,0,1.3944755,0,0,0.096956685,0,0,0,0,1.9474702,0.41926765,0,0,2.1430655,2.192996,4.8173804,3.2529347,2
0,0,2.0481763,0,0,0.065204434,0,0,0,0,2.7991972,0.65661365,0,0,3.065463,3.0652578,7.006541,4.655539,2
0,0,2.6432676,0,0,0.05440002,0,0,0,0,3.592684,0.84680384,0,0,3.8559542,3.8358538,8.919336,5.817963,2
0,0,1.8894209,0,0,0.06130319,0,0,0,0,2.5773625,0.60981953,0,0,2.7553701,2.7805622,6.3010325,4.186807,2
0,0,1.8261799,0,0,0.06752083,0,0,0,0,2.500231,0.58379936,0,0,2.6964798,2.720964,6.1478033,4.0946717,2
0,0,2.060708,0,0,0.06542548,0,0,0,0,2.8163013,0.6573828,0,0,3.0386734,3.0491288,6.9617376,4.6012397,2
0,0,1.7715405,0,0,0.06816189,0,0,0,0,2.4270205,0.5665161,0,0,2.6196303,2.6467335,5.9634423,3.980756,2
0,0,2.125464,0,0,0.0627485,0,0,0,0,2.9009187,0.6803734,0,0,3.1295075,3.1355257,7.178414,4.739252,2
0,0,2.462992,0,0,0.059754543,0,0,0,0,3.355743,0.7862421,0,0,3.6213431,3.6073616,8.348721,5.467354,2
0,0,2.1727715,0,0,0.06416102,0,0,0,0,2.9667902,0.69309217,0,0,3.2036576,3.2069018,7.3538585,4.8471885,2
0,0,2.3410685,0,0,0.06079116,0,0,0,0,3.191069,0.748038,0,0,3.4408941,3.4348586,7.921109,5.2004466,2
0,0,2.3964918,0,0,0.061408997,0,0,0,0,3.2677815,0.7643905,0,0,3.5343914,3.522575,8.137598,5.338491,2
0,0,2.116139,0,0,0.06506796,0,0,0,0,2.8914146,0.6749702,0,0,3.1275263,3.1327443,7.1694202,4.734291,2
0,0,2.0997715,0,0,0.068103984,0,0,0,0,2.87419,0.6669404,0,0,3.1301193,3.1315577,7.1636558,4.7364397,2
0,0,2.0583043,0,0,0.07084408,0,0,0,0,2.8223698,0.65090317,0,0,3.0815454,3.083958,7.042121,4.659674,2
0,0,1.906873,0,0,0.07338317,0,0,0,0,2.6196203,0.60258806,0,0,2.872817,2.88213,6.541484,4.352484,2
0,0,2.0845644,0,0,0.065559894,0,0,0,0,2.849802,0.6654064,0,0,3.096661,3.1000233,7.08856,4.690903,2
0,0,2.0313225,0,0,0.0672088,0,0,0,0,2.779431,0.64704007,0,0,3.017581,3.025312,6.9017143,4.571063,2
0,0,2.1069233,0,0,0.067971826,0,0,0,0,2.8842885,0.66973823,0,0,3.152017,3.1500385,7.209959,4.770982,2
0,0,2.0958085,0,0,0.06595786,0,0,0,0,2.865166,0.66803026,0,0,3.106484,3.1112318,7.115644,4.7035236,2
0,0,2.2259343,0,0,0.061510175,0,0,0,0,3.0357597,0.7123119,0,0,3.2742467,3.2745016,7.5235615,4.9540987,2
0,0,2.3386555,0,0,0.06027487,0,0,0,0,3.1871476,0.7479336,0,0,3.4359922,3.430065,7.9097695,5.193921,2
0,0,2.220216,0,0,0.061940532,0,0,0,0,3.0284262,0.70998925,0,0,3.2650394,3.2661355,7.502381,4.939673,2
0,0,1.9875942,0,0,0.06873276,0,0,0,0,2.7222462,0.63198787,0,0,2.959875,2.9694443,6.7618184,4.4840627,2
0,0,1.7804114,0,0,0.06721987,0,0,0,0,2.4375522,0.56996584,0,0,2.6216335,2.6503725,5.972967,3.9831827,2
0,0,1.761619,0,0,0.069841206,0,0,0,0,2.4158704,0.56171095,0,0,2.6148672,2.6412323,5.948395,3.9725938,2
0,0,2.192136,0,0,0.06499615,0,0,0,0,2.9953148,0.6981402,0,0,3.2463622,3.2453518,7.447682,4.9091597,2
0,0,1.9466048,0,0,0.06432136,0,0,0,0,2.6594331,0.6236788,0,0,2.8556461,2.8756125,6.533066,4.331026,2
0,0,1.6597306,0,0,0.06406751,0,0,0,0,2.2693791,0.5366339,0,0,2.4229941,2.4616084,5.508301,3.6919546,2
0,0,2.1416674,0,0,0.063306615,0,0,0,0,2.9236708,0.68421954,0,0,3.1490526,3.1555994,7.2268124,4.7651997,2
0,0,2.211167,0,0,0.06602362,0,0,0,0,3.022994,0.70279944,0,0,3.2835016,3.27977,7.531671,4.9628325,2
0,0,2.2591484,0,0,0.0639015,0,0,0,0,3.0848413,0.71954936,0,0,3.338107,3.334263,7.6684694,5.0446434,2
0,0,1.9252286,0,0,0.07199729,0,0,0,0,2.6431005,0.60929245,0,0,2.8897576,2.8994937,6.584717,4.3762293,2
0,0,2.3920999,0,0,0.06350363,0,0,0,0,3.265273,0.76050675,0,0,3.5394044,3.5263019,8.14411,5.3424063,2
0,0,2.0979133,0,0,0.064573154,0,0,0,0,2.8660202,0.66977215,0,0,3.0946708,3.1020672,7.0935526,4.685115,2
0,0,2.1646187,0,0,0.063847065,0,0,0,0,2.955328,0.69071925,0,0,3.186233,3.1910584,7.3144803,4.8204374,2
0,0,2.0406744,0,0,0.065989226,0,0,0,0,2.7901144,0.65111595,0,0,3.0207329,3.0298007,6.9139767,4.5764284,2
0,0,1.8871276,0,0,0.068071544,0,0,0,0,2.5841613,0.6018776,0,0,2.7959943,2.8149002,6.3798375,4.2416534,2
0,0,2.3800967,0,0,0.06400557,0,0,0,0,3.2496965,0.7568677,0,0,3.533473,3.518482,8.125244,5.3361554,2
0,0,2.0397475,0,0,0.06517376,0,0,0,0,2.7871861,0.6514408,0,0,3.0062246,3.01815,6.885751,4.5545745,2
0,0,1.5040658,0,0,0.07432808,0,0,0,0,2.072372,0.4782398,0,0,2.2510605,2.2912302,5.0774117,3.4303288,2
0,0,1.9678549,0,0,0.06322408,0,0,0,0,2.686165,0.63141966,0,0,2.87811,2.8984337,6.591107,4.365965,2
0,0,2.3754082,0,0,0.068841025,0,0,0,0,3.2457771,0.74783725,0,0,3.4843874,3.4841921,8.034933,5.2506356,2
0,0,2.1113682,0,0,0.07154365,0,0,0,0,2.890939,0.6645807,0,0,3.104353,3.1187885,7.1278777,4.6871586,2
0,0,1.9448751,0,0,0.076742955,0,0,0,0,2.672384,0.60846514,0,0,2.889998,2.9096992,6.605664,4.3671236,2
0,0,2.2936158,0,0,0.07558425,0,0,0,0,3.1451101,0.7157727,0,0,3.4103427,3.4076548,7.8389497,5.135906,2
0,0,1.6944582,0,0,0.077353686,0,0,0,0,2.33266,0.5318255,0,0,2.5181065,2.5532982,5.723441,3.8187354,2
0,0,1.9210724,0,0,0.07364741,0,0,0,0,2.635325,0.60468143,0,0,2.8350425,2.8590145,6.483405,4.2892113,2
0,0,2.2442894,0,0,0.07215074,0,0,0,0,3.0726087,0.70447385,0,0,3.3110428,3.3155777,7.614527,4.9923697,2
0,0,2.2130995,0,0,0.0725898,0,0,0,0,3.0311823,0.6944165,0,0,3.2677402,3.2736273,7.5098944,4.9273386,2
0,0,2.3498902,0,0,0.07119039,0,0,0,0,3.2149315,0.7374921,0,0,3.46311,3.4618082,7.97699,5.2167864,2
0,0,2.3320076,0,0,0.07280142,0,0,0,0,3.1930695,0.73040456,0,0,3.4485316,3.4463875,7.9374223,5.1943793,2
0,0,2.3613677,0,0,0.07420751,0,0,0,0,3.2352672,0.73788613,0,0,3.5045114,3.4984252,8.0648775,5.2760906,2
0,0,2.1931994,0,0,0.07772553,0,0,0,0,3.0117865,0.6831494,0,0,3.2767406,3.2776513,7.5155606,4.9381266,2
0,0,1.9478283,0,0,0.08295749,0,0,0,0,2.685579,0.6032385,0,0,2.9439664,2.9553149,6.713748,4.444807,2
0,0,1.9754058,0,0,0.080744654,0,0,0,0,2.7201626,0.61383575,0,0,2.9710422,2.9826388,6.782891,4.4853706,2
0,0,2.2170448,0,0,0.0730962,0,0,0,0,3.037656,0.69534963,0,0,3.284152,3.2874541,7.5438776,4.9523616,2
0,0,2.028806,0,0,0.075943634,0,0,0,0,2.7855163,0.63500077,0,0,3.0152302,3.029175,6.9022255,4.553256,2
0,0,2.11146,0,0,0.07701273,0,0,0,0,2.8996775,0.65920144,0,0,3.1517687,3.157997,7.220284,4.754926,2
0,0,2.2089784,0,0,0.073844925,0,0,0,0,3.0276113,0.6919592,0,0,3.2733827,3.2773983,7.5181913,4.9353113,2
0,0,2.2817426,0,0,0.07120712,0,0,0,0,3.1225126,0.71699333,0,0,3.3659906,3.3677459,7.744457,5.0745516,2
0,0,2.4437234,0,0,0.06963074,0,0,0,0,3.340448,0.76784503,0,0,3.5984516,3.5914261,8.299308,5.4183483,2
0,0,2.1955907,0,0,0.07153478,0,0,0,0,3.0058167,0.69033283,0,0,3.236165,3.2437901,7.437217,4.8821282,2
0,0,2.12309,0,0,0.07776864,0,0,0,0,2.9164639,0.6617899,0,0,3.1709871,3.1765587,7.2653837,4.7820845,2
0,0,1.7232358,0,0,0.07612568,0,0,0,0,2.370182,0.5420011,0,0,2.556706,2.590342,5.816298,3.8770723,2
0,0,1.8905401,0,0,0.07658394,0,0,0,0,2.598612,0.59234136,0,0,2.8132563,2.835077,6.4212947,4.2549367,2
0,0,2.2624052,0,0,0.07546121,0,0,0,0,3.1027179,0.70676607,0,0,3.3698344,3.3674548,7.740031,5.077907,2
0,0,1.9206196,0,0,0.0745689,0,0,0,0,2.6363122,0.6035692,0,0,2.8424282,2.8649921,6.497206,4.2992945,2
0,0,1.7628477,0,0,0.073888764,0,0,0,0,2.4208767,0.5561726,0,0,2.5983686,2.6323686,5.9218063,3.9387572,2
