杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,area1,area2,area3,area4,Label
0,2.742886,4.070352,0.29148534,0,0.6359682,0,0,0,0,0,0,0,0,3.1820014,4.4275503,3.3147185,8.986483,3
0,1.8481705,5.0537543,0.7684774,0.45951694,0.532297,0,0,0,0,0,0.917365,0,0,0.6798722,2.2132194,1.065789,8.609787,3
0,1.4610803,4.7446723,0.7704665,0.44097394,0.74730563,0.41113466,0,0,0,0,1.0274401,0,0.68188655,5.3518243,2.070652,4.1167254,6.2042623,3
0,0.7602448,5.931053,1.0797281,0.35912782,0.7532351,0,0,0,0,0,2.4958296,0,0,1.8994671,1.0067374,0.90867907,8.484017,3
0,1.6377008,6.004896,1.0135244,0.7561348,0,0.33617598,0,0,0,0,1.5159037,0,0,2.173191,1.5586109,2.4702766,7.7606993,3
0,1.6722258,6.00223,1.102637,0.99496055,0.7485533,0,0,0,0,0,1.7013078,0,0,0.91844857,1.010886,0.9685198,7.9294434,3
0,0.72977144,4.8671207,0.9135098,0.42879504,0.9374529,0.09128271,0,0,0,0,1.7704728,0,0,4.098179,1.6859903,2.8566442,7.681422,3
0,1.0052485,1.3032156,0.81179494,1.8542972,2.1063836,0,0,0,0,0,0,0,1.1562423,3.9647954,2.3001509,4.2151513,7.789301,3
0,2.5594254,2.0377383,0.48427075,2.393234,1.7695163,0.19187199,0,0,0,0,0,0,0.91084415,1.7672654,3.321558,4.1183033,7.0958247,3
0,2.7183838,5.732595,0.75136256,3.2578926,2.3050656,0.9198126,0,0,0,0,0,0,1.4871833,2.5007226,1.8239595,4.118835,5.3568373,3
0,4.2099013,6.264722,0.22208433,2.203528,4.661945,0.2678563,0,0,0,0,0,0,0.70892704,4.3939896,3.390046,3.670229,5.6388736,3
0,3.0608528,6.107597,0.63074213,2.871042,5.0613747,0.46404433,0,0,0,0,0,0,1.407809,5.34721,2.198307,4.14868,5.6312885,3
0,4.2956786,6.0119734,0.12694126,2.3946693,3.993191,0.29003578,0,0,0,0,0,0,0.40759084,2.8774257,3.839281,3.4957368,6.047862,3
0,2.4799345,7.104206,0.5325732,2.268178,2.8816447,0.57454056,0,0,0,0,0,0,0.3397924,2.8779087,1.9510038,2.8031876,5.6154785,3
0,2.8672237,6.8557177,0.7223919,3.4096937,2.3895366,0.98092633,0,0,0,0,0,0,1.3679534,3.342181,3.2215304,5.330056,8.24697,3
0,1.9438995,7.2515383,0.5944688,1.9248776,3.22496,0.33867282,0,0,0,0,0.001335859,0,0,3.2472503,1.9040625,2.3836927,6.6658773,3
0,1.5337256,6.021391,0.7791394,1.4969573,3.560711,0,0,0,0,0,0.6112697,0,0,3.7133524,1.4258962,1.9202354,7.018655,3
0,2.3915255,6.0948863,0.49301463,1.92331,3.3462536,0.18835436,0,0,0,0,0,0,0.120579615,4.147662,3.4693704,3.8564627,8.618304,3
0,2.5234928,5.4460692,0.82717663,3.7230337,2.3550994,0.7219025,0,0,0,0,0,0,1.0456593,1.6613832,2.6296992,4.376815,7.9303875,3
0,0.3811067,2.1382089,0.62139684,1.5243417,1.254504,0.40183705,0,0,0,0,0,0,1.4545676,5.067361,3.1820006,5.521861,8.350565,3
0,0.47369948,2.7715142,0.8186368,2.3980408,2.1742802,0.4257344,0,0,0,0,0,0,1.4207683,4.4227204,2.6563523,5.194361,8.544973,3
0,2.4920487,2.930742,0.3955871,2.1822593,1.7631785,0.49510068,0,0,0,0,0,0,1.5468483,4.2349496,4.4254208,6.0438433,8.306572,3
0,2.460899,3.9922855,0.64565253,3.020465,2.9338074,0.22586201,0,0,0,0,0,0,0.5238838,1.5181603,2.7894642,3.4674122,8.060637,3
0,2.194707,3.6072104,0.8224297,2.9065704,3.4264472,0.20789005,0,0,0,0,0,0,0.81902874,2.099976,1.4509959,2.8632638,6.0297384,3
0,1.3452446,3.9442267,0.84427345,2.3785732,3.6049073,0.28194916,0,0,0,0,0,0,1.2431504,4.621861,1.3590242,3.7316878,6.010236,3
0,2.3711,5.0145764,0.6537501,3.3208184,3.0726259,0.28159875,0,0,0,0,0,0,0.22034644,0.8506094,2.4893825,2.9183495,7.758972,3
0,1.6680796,4.7302914,0.8712627,3.7441225,2.937967,0.59494704,0,0,0,0,0,0,1.2159666,2.7371237,2.8020546,4.896129,9.065536,3
0,1.4019535,4.0107985,1.2528205,2.9799397,3.7430248,0.032739356,0,0,0,0,0.07632625,0,0.69633824,3.3610132,1.0743737,3.2419627,8.374251,3
0,2.9541957,3.4358442,0.25161004,0.4260797,2.5159705,0,0,0,0,0,0,0,0,3.8230317,3.3314888,2.8738024,6.2828636,3
0,1.2857062,0.92035884,0.7409575,1.4489839,1.4362932,0,0,0,0,0,0,0,0.8008627,3.604713,3.1627314,4.5839663,8.703592,3
0,1.5933356,1.0843107,0.6630304,1.6875929,1.7819799,0,0,0,0,0,0,0,0.765752,2.5495,2.2505608,3.461923,6.3658113,3
0,1.5906299,1.0801865,0.67744976,1.6711932,1.7500459,0,0,0,0,0,0,0,0.7832341,2.7659338,2.4744165,3.721083,6.884834,3
0,1.7081131,1.1598747,0.657093,1.7792633,1.9019097,0,0,0,0,0,0,0,0.78256893,2.4144075,2.1467853,3.3405192,6.084272,3
