杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0,3,15,6,0,0,0,0,0,0,0,0,0,0,8.6287256,0.73400076,1.45956571,1.74474867,0
0,3,13,4,2,0,0,0,0,0,0,0,0,0,7.95102677,1.64630927,1.4018274,1.94526745,0
0,3,6,1,0,0,0,0,0,0,0,0,0,0,8.55536514,1.30728502,1.09846255,0.9918603,0
0,3,8,1,1,0,0,0,0,0,0,0,0,0,9.23728302,0.80804265,1.09970762,0.45332815,0
0,5,6,1,1,0,0,0,0,0,0,0,0,0,8.05254969,1.83948617,1.92250257,1.36075923,0
0,4,6,0,2,0,0,0,0,0,2,0,0,0,7.57855396,1.72641641,0.53615314,1.82229394,0
0,4,6,0,2,0,0,0,0,0,0,0,0,0,7.15070136,1.23898299,1.38619502,0.82905687,0
0,3,6,0,2,0,0,0,0,0,0,0,0,0,8.29557741,0.13292309,0.8402396,0.65857396,0
0,3,3,0,1,0,0,0,0,0,0,0,0,0,8.1765911,1.72747741,1.21852687,1.14339296,0
0,1,4,0,0,0,0,0,0,0,0,0,0,0,7.76298716,0.1726934,0.92352568,0.65777287,0
0,1,4,3,0,0,0,0,0,0,0,0,0,0,8.15890877,1.98492939,1.10028058,1.31960409,0
0,3,5,4,1,0,0,0,0,0,0,0,0,0,8.54659521,1.52568071,0.83582625,0.24879306,0
0,3,7,4,3,0,0,0,0,0,0,0,0,0,9.26256491,0.52263051,0.93324927,1.58501473,0
0,4,8,3,4,0,0,0,0,0,1,0,0,0,7.95129633,1.35736932,0.63953208,0.44280232,0
0,6,8,2,5,0,0,0,0,0,2,0,0,0,7.60635543,1.3660459,1.7785292,1.14838132,0
0,6,8,2,5,0,0,0,0,0,3,0,0,0,8.27320905,0.59259494,1.05213369,1.38561065,0
0,7,8,1,4,0,0,0,0,0,3,0,0,0,9.10167192,1.76338597,1.16358166,1.34016945,0
0,5,9,2,3,0,0,0,0,0,3,0,0,0,7.57376174,1.84375571,0.51089815,0.47476134,0
0,4,11,1,2,0,0,0,0,0,3,0,0,0,8.4804724,1.03041573,1.32212579,1.97667912,0
0,3,11,1,1,0,0,0,0,0,3,0,0,0,9.19554818,1.71189632,1.02581365,1.83088625,0
0,3,9,1,0,0,0,0,0,0,3,0,0,0,8.25506074,1.85950656,1.18480413,0.07281658,0
0,2,9,1,1,0,0,0,0,0,2,0,0,0,7.85701088,1.95089949,1.35322359,0.127738,0
0,1,9,1,1,0,0,0,0,0,2,0,0,0,9.10906033,0.05813823,1.16942409,0.49315061,0
0,1,9,2,1,0,0,0,0,0,1,0,0,0,8.75091917,0.2101314,1.87427839,1.73614008,0
0,1,7,2,2,0,0,0,0,0,0,0,0,0,9.41185929,0.87174761,1.77396796,1.82205838,0
0,1,8,1,2,0,0,0,0,0,0,0,0,0,7.74386572,1.92330115,0.31573652,0.40432889,0
0,2,8,1,2,0,0,0,0,0,0,0,0,0,7.75066976,1.97649965,1.8633808,1.53282253,0
0,1,7,2,2,0,0,0,0,0,0,0,0,0,8.51237292,0.63340411,0.55180926,1.44380048,0
0,3,6,2,2,0,0,0,0,0,0,0,0,0,9.40630153,0.86361167,0.88972094,0.8614952,0
0,2,7,1,2,0,0,0,0,0,1,0,0,0,7.38498841,0.91812462,0.03416574,0.96278125,0
0,4,8,1,2,0,0,0,0,0,1,0,0,0,7.50599068,1.97049545,0.42853491,1.22982609,0
0,3,7,2,3,0,0,0,0,0,2,0,0,0,9.10504025,1.98001127,0.64538642,1.05397313,0
0,3,5,1,2,0,0,0,0,0,1,0,0,0,8.24971254,1.49412234,1.92861563,1.33208392,0
0,3,6,1,1,0,0,0,0,0,1,0,0,0,8.05522342,0.14863817,0.33651368,0.20552018,0
0,2,7,2,1,0,0,0,0,0,1,0,0,0,8.24496308,0.3269759,1.28225159,0.69324586,0
0,3,9,2,1,0,0,0,0,0,0,0,0,0,7.0820085,0.48729272,1.793856,0.39724907,0
0,2,8,1,1,0,0,0,0,0,0,0,0,0,8.76563997,0.66006325,0.04148339,0.19941582,0
0,2,7,1,1,0,0,0,0,0,0,0,0,0,8.26256696,1.41243378,1.85079782,1.59408561,0
0,4,7,2,1,0,0,0,0,0,0,0,0,0,8.09206085,0.42079703,0.28174871,0.62467078,0
0,1,5,5,1,0,0,0,0,0,0,0,0,0,8.83313972,1.18620318,0.5486,1.9562167,0
0,5.71,7.73,3.64,3.61,0,0,0,0,0,2.52,0,0,0,3.443206,1.1601455,1.0968261,1.1213017,0
0,3.06,4.04,1.89,1.92,0,0,0,0,0,1.31,0,0,0,3.493633,1.1946131,1.0681877,1.076001,0
0,3.7,4.94,2.32,2.33,0,0,0,0,0,1.6,0,0,0,3.752525,1.2422698,1.0719299,1.0777225,0
0,3.5,4.64,2.2,2.19,0,0,0,0,0,1.54,0,0,0,3.431722,1.1627225,1.0873195,1.1203277,0
0,3.57,4.73,2.24,2.22,0,0,0,0,0,1.57,0,0,0,3.036778,1.1283268,1.0593604,1.0461255,0
0,3.23,4.26,2,2.02,0,0,0,0,0,1.41,0,0,0,2.4536085,1.0662086,1.0024208,0.96924984,0
0,3.04,4.02,1.87,1.9,0,0,0,0,0,1.31,0,0,0,2.990649,1.1484054,1.0179634,0.98156506,0
0,2.12,2.71,1.26,1.3,0,0,0,0,0,0.89,0,0,0,3.3451605,1.1695051,1.066586,1.0770737,0
0,1.97,2.5,1.13,1.21,0,0,0,0,0,0.79,0,0,0,2.6209817,1.1013736,0.9957335,0.94587964,0
0,2.48,3.2,1.51,1.56,0,0,0,0,0,1.04,0,0,0,3.414978,1.1763839,1.0785829,1.0924739,0
0,3.36,4.45,2.14,2.13,0,0,0,0,0,1.46,0,0,0,3.26424,1.1899327,1.0374824,1.0225731,0
0,4.07,5.46,2.62,2.57,0,0,0,0,0,1.78,0,0,0,4.040754,1.2506895,1.1061492,1.1329587,0
0,4.61,6.22,2.99,2.9,0,0,0,0,0,2.03,0,0,0,2.836972,1.1354624,1.0092285,0.97306275,0
0,5.05,6.81,3.28,3.16,0,0,0,0,0,2.27,0,0,0,2.9523134,1.1126714,1.0472465,1.0488877,0
0,5.22,7.04,3.4,3.27,0,0,0,0,0,2.35,0,0,0,3.289763,1.161292,1.0565941,1.0522199,0
