Co,Cr,Mg,Pb,Ti
19.8,99.9,2.16,24.5,2165
80.3,104.8,1.83,17.2,1488
24.9,119.9,2.21,33.9,2322
31.1,124.5,2.15,23.3,2094
33.3,107.3,2.27,24.2,1761
33.6,110.3,2.22,24.3,2301
84,93,1.24,17.3,1316
22.4,101.1,2.06,26.4,2191
44.9,94,1.92,20.3,1538
37.6,114.9,2.56,22,1927
21.5,111.4,2.22,21.7,2368
25.4,113.5,2.22,31.6,2285
52.9,115.4,1.83,19.1,1484
23.1,116.3,2.4,27.6,2320
36,128.4,1.85,20.7,1553
53.4,117.1,2.05,27.3,2116
54.4,143.8,1.55,19.1,1518
29.1,99.1,2.24,25.8,2152
34.3,115.8,2.13,28.3,2177
90.5,66.2,0.98,17.6,1213
33.1,101.2,2.38,23.2,1963
43,89.8,1.08,16.7,1308
27,94.4,1.79,23.1,1964
23.2,110,2.49,25.4,2128
26.1,113.7,2.44,23.8,2103
45.6,121.5,1.54,18.6,1416
27.3,106.7,2.41,26.1,2104
44.4,99.9,2.77,20.7,1856
21.8,116.2,2.45,22.8,2197
40.2,130.5,2.11,28,2266
32.4,143.6,2.21,49.1,2270
26,110.8,2.2,30,2338
24.9,110.5,2.33,27,2215
32.1,108.3,2.16,29.2,2258
28.7,113.1,2.51,27.3,2407
33.5,107.2,2.39,25.5,2177
28.3,114.7,2.8,22.1,2054
22.3,128.7,2.36,31.4,2395
30.6,132,2.45,30.9,2368
65.1,108.6,2.1,29.6,1935
38.4,103.5,2.06,25.5,2186
60.5,107.6,2.06,20.5,2154
29.8,107.8,2.17,25,2326
56.8,99.5,2.11,18,1492
26,103.8,2.11,25,2283
52.1,98.9,1.95,23.9,2093
27.1,114.5,2.44,27.4,2387
67.1,99.4,2.06,20.5,1884
35.1,105.7,2.34,25.5,2326
40.5,114.7,2.09,30.2,2003
26.6,108.3,2.17,23.5,2320
27.5,107.1,2.15,30.1,2303
31.3,109.4,2.29,26.2,2107
23.5,116.6,2.47,23.8,2138
70.6,101.2,2.29,19.8,1512
31,102.9,2.03,28.6,1990
32.2,97.3,1.79,24.2,1771
37.7,101.1,2.04,23.6,1877
35.4,109,2.12,26.2,2289
37.9,124.1,2.1,23.2,2194
54.8,108.9,2.16,23.6,2312
37.1,104.2,2.6,22.7,1942
29,91.5,1.73,20.4,1760
26.5,110.7,2.2,21.9,2359
25,113.1,2.77,24.8,2144
23.8,117.2,2.11,28.7,2409
63.4,101.1,1.62,18.3,1503
22,109.3,2.17,27.6,2191
18.8,121.5,2.68,29.4,2428
29.7,107,1.98,29.8,2194
23.6,103.1,1.81,22.7,2052
23,138.7,2.27,48.1,2357
