杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0,3,15,6,0,0,0,0,0,0,0,0,0,0,0.86287256,0.073400076,0.145956571,0.185431534,0
0,3,13,4,2,0,0,0,0,0,0,0,0,0,0.795102677,0.164630927,0.14018274,0.195500234,0
0,3,6,1,0,0,0,0,0,0,0,0,0,0,0.855536514,0.130728502,0.109846255,0.031141705,0
0,3,8,1,1,0,0,0,0,0,0,0,0,0,0.923728302,0.080804265,0.109970762,0.068524895,0
0,5,6,1,1,0,0,0,0,0,0,0,0,0,0.805254969,0.183948617,0.192250257,0.05174025,0
0,4,6,0,2,0,0,0,0,0,2,0,0,0,0.757855396,0.172641641,0.053615314,0.092030645,0
0,4,6,0,2,0,0,0,0,0,0,0,0,0,0.715070136,0.123898299,0.138619502,0.051571142,0
0,3,6,0,2,0,0,0,0,0,0,0,0,0,0.829557741,0.013292309,0.08402396,0.09354596,0
0,3,3,0,1,0,0,0,0,0,0,0,0,0,0.81765911,0.172747741,0.121852687,0.079139835,0
0,1,4,0,0,0,0,0,0,0,0,0,0,0,0.776298716,0.01726934,0.092352568,0.161008232,0
0,1,4,3,0,0,0,0,0,0,0,0,0,0,0.815890877,0.198492939,0.110028058,0.123377834,0
0,3,5,4,1,0,0,0,0,0,0,0,0,0,0.854659521,0.152568071,0.083582625,0.120577277,0
0,3,7,4,3,0,0,0,0,0,0,0,0,0,0.926256491,0.052263051,0.093324927,0.149598852,0
0,4,8,3,4,0,0,0,0,0,1,0,0,0,0.795129633,0.135736932,0.063953208,0.039144321,0
0,6,8,2,5,0,0,0,0,0,2,0,0,0,0.760635543,0.13660459,0.17785292,0.088282904,0
0,6,8,2,5,0,0,0,0,0,3,0,0,0,0.827320905,0.059259494,0.105213369,0.10987745,0
0,7,8,1,4,0,0,0,0,0,3,0,0,0,0.910167192,0.176338597,0.116358166,0.130976295,0
0,5,9,2,3,0,0,0,0,0,3,0,0,0,0.757376174,0.184375571,0.051089815,0.109949024,0
0,4,11,1,2,0,0,0,0,0,3,0,0,0,0.84804724,0.103041573,0.132212579,0.156416652,0
0,3,11,1,1,0,0,0,0,0,3,0,0,0,0.919554818,0.171189632,0.102581365,0.086752384,0
0,3,9,1,0,0,0,0,0,0,3,0,0,0,0.825506074,0.185950656,0.118480413,0.103350543,0
0,2,9,1,1,0,0,0,0,0,2,0,0,0,0.785701088,0.195089949,0.135322359,0.193688751,0
0,1,9,1,1,0,0,0,0,0,2,0,0,0,0.910906033,0.005813823,0.116942409,0.042239753,0
0,1,9,2,1,0,0,0,0,0,1,0,0,0,0.875091917,0.02101314,0.187427839,0.131976722,0
0,1,7,2,2,0,0,0,0,0,0,0,0,0,0.941185929,0.087174761,0.177396796,0.060567613,0
0,1,8,1,2,0,0,0,0,0,0,0,0,0,0.774386572,0.192330115,0.031573652,0.135013962,0
0,2,8,1,2,0,0,0,0,0,0,0,0,0,0.775066976,0.197649965,0.18633808,0.098499446,0
0,1,7,2,2,0,0,0,0,0,0,0,0,0,0.851237292,0.063340411,0.055180926,0.08188777,0
0,3,6,2,2,0,0,0,0,0,0,0,0,0,0.940630153,0.086361167,0.088972094,0.177351878,0
0,2,7,1,2,0,0,0,0,0,1,0,0,0,0.738498841,0.091812462,0.003416574,0.017325073,0
0,4,8,1,2,0,0,0,0,0,1,0,0,0,0.750599068,0.197049545,0.042853491,0.114072161,0
0,3,7,2,3,0,0,0,0,0,2,0,0,0,0.910504025,0.198001127,0.064538642,0.107336656,0
0,3,5,1,2,0,0,0,0,0,1,0,0,0,0.824971254,0.149412234,0.192861563,0.193001983,0
0,3,6,1,1,0,0,0,0,0,1,0,0,0,0.805522342,0.014863817,0.033651368,0.003370868,0
0,2,7,2,1,0,0,0,0,0,1,0,0,0,0.824496308,0.03269759,0.128225159,0.152987956,0
0,3,9,2,1,0,0,0,0,0,0,0,0,0,0.70820085,0.048729272,0.1793856,0.030353893,0
0,2,8,1,1,0,0,0,0,0,0,0,0,0,0.876563997,0.066006325,0.004148339,0.076525299,0
0,2,7,1,1,0,0,0,0,0,0,0,0,0,0.826256696,0.141243378,0.185079782,0.103677874,0
0,4,7,2,1,0,0,0,0,0,0,0,0,0,0.809206085,0.042079703,0.028174871,0.081556496,0
0,1,5,5,1,0,0,0,0,0,0,0,0,0,0.883313972,0.118620318,0.05486,0.076389831,0
0,5.71,7.73,3.64,3.61,0,0,0,0,0,2.52,0,0,0,,,,,0
0,3.06,4.04,1.89,1.92,0,0,0,0,0,1.31,0,0,0,,,,,0
0,3.7,4.94,2.32,2.33,0,0,0,0,0,1.6,0,0,0,,,,,0
