杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Label
0,0,3,1,0,0,0,0,0,0,6,0,2,0,2
0,0,4,1,0,1,0,0,0,0,5,0,2,0,2
0,0,3,0,0,0,0,0,0,0,5,0,2,0,2
0,0,3,0,0,0,0,0,0,0,3,0,0,0,2
0,0,3,0,0,1,0,0,0,0,3,0,0,0,2
0,0,2,0,0,1,0,0,0,0,3,0,0,0,2
0,0,3,0,0,1,0,0,0,0,4,0,0,0,2
0,0,4,0,0,1,0,0,0,0,4,0,0,0,2
0,0,3,0,0,0,0,0,0,0,5,0,0,0,2
0,0,4,0,0,0,0,0,0,0,5,0,0,0,2
0,0,4,0,0,0,0,0,0,0,4,0,0,0,2
0,0,3,0,0,0,0,0,0,0,4,0,0,0,2
0,0,2,0,0,0,0,0,0,0,3,0,0,0,2
0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
0,0,1,0,0,0,0,0,0,0,6,0,0,0,2
0,0,2,0,0,0,0,0,0,0,4,0,0,0,2
0,0,1,0,0,0,0,0,0,0,4,0,0,0,2
0,0,2,0,0,0,0,0,0,0,5,0,0,0,2
0,0,3,0,0,0,0,0,0,0,5,1,0,0,2
0,0,3,0,0,0,0,0,0,0,6,1,0,0,2
0,0,3,0,0,0,0,0,0,0,5,1,0,0,2
0,0,2,0,0,0,0,0,0,0,3,0,0,0,2
0,0,2,0,0,0,0,0,0,0,3,2,0,0,2
0,0,1,0,0,0,0,0,0,0,4,1,0,0,2
0,0,2,0,0,0,0,0,0,0,3,2,0,0,2
0,0,3,0,0,0,0,0,0,0,3,2,0,0,2
0,0,2,0,0,0,0,0,0,0,4,1,2,0,2
0,0,3,0,0,0,0,0,0,0,2,2,1,0,2
0,0,2,0,0,0,0,0,0,0,2,2,0,0,2
0,0,3,0,0,0,0,0,0,0,2,2,0,0,2
0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
0,0,3,0,0,0,0,0,0,0,2,2,0,0,2
0,0,2,0,0,0,0,0,0,0,4,2,0,0,2
0,0,2,0,0,0,0,0,0,0,5,2,0,0,2
0,0,2,0,0,0,0,0,0,2,3,0,0,0,2
0,0,2,0,0,0,0,0,0,2,2,0,0,0,2
0,0,2,0,0,0,0,0,0,2,2,0,1,0,2
0,0,2,0,0,0,0,0,0,3,2,0,1,0,2
0,0,1,1,0,0,0,0,0,0,1,0,0,0,2
0,0,2,1,0,1,0,0,0,0,4,0,2,0,2
0,0,4.29,0,0,0,0.16,0,0,0,5.04,1.03,0,0,2
