杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Label
0,1,2,2,0,0,0,0,0,0,0,0,0,0,3
0,2,4,1,0,1,0,0,0,0,0,0,0,0,3
0,2,5,1,0,1,0,0,0,0,0,1,0,0,3
0,2,5,1,0,1,0,0,0,0,0,1,0,0,3
0,1,6,1,0,1,0,0,0,0,0,2,0,0,3
0,1,6,1,1,0,0,0,0,0,0,2,0,0,3
0,2,6,1,1,1,0,0,0,0,0,2,0,0,3
0,1,5,1,0,1,0,0,0,0,0,2,0,0,3
0,1,1,1,2,2,0,0,0,0,0,0,0,2,3
0,3,2,0,2,2,0,0,0,0,0,0,0,2,3
0,3,6,0,2,3,1,0,0,0,0,0,0,1,3
0,4,6,0,2,5,1,0,0,0,0,0,0,1,3
0,4,6,0,3,5,1,0,0,0,0,0,0,1,3
0,4,6,0,1,5,1,0,0,0,0,0,0,1,3
0,2,7,1,2,3,1,0,0,0,0,0,0,0,3
0,2,7,1,3,3,1,0,0,0,0,0,0,0,3
0,2,7,1,2,3,1,0,0,0,0,0,0,0,3
0,2,6,1,2,3,0,0,0,0,0,0,0,0,3
0,2,6,1,3,3,0,0,0,0,0,0,0,0,3
0,2,6,1,3,3,0,0,0,0,0,0,0,0,3
0,0,2,1,2,1,0,0,0,0,0,0,0,2,3
0,1,3,1,2,2,0,0,0,0,0,0,0,2,3
0,2,3,1,2,2,0,0,0,0,0,0,0,2,3
0,2,4,0,3,3,0,0,0,0,0,0,0,2,3
0,2,4,0,2,4,0,0,0,0,0,0,0,2,3
0,2,4,0,3,3,0,0,0,0,0,0,0,1,3
0,2,5,0,4,3,0,0,0,0,0,0,0,0,3
0,2,5,0,4,3,0,0,0,0,0,0,0,0,3
0,2,4,1,4,3,0,0,0,0,0,0,0,0,3
0,2,3,1,2,2,0,0,0,0,0,0,0,0,3
0,1.437834,0.9245593,0.63603425,1.4358811,1.5388902,0,0,0,0,0,0,0,0.59663236,3
0,1.6169028,1.0540578,0.71618503,1.6267326,1.7512505,0,0,0,0,0,0,0,0.6783184,3
0,1.6169028,1.0540578,0.71618503,1.6267326,1.7512505,0,0,0,0,0,0,0,0.6783184,3
0,1.7026603,1.1225814,0.77033216,1.7142652,1.8498259,0,0,0,0,0,0,0,0.72119147,3
0,1.6041324,1.0704938,0.7444476,1.6493216,1.7838936,0,0,0,0,0,0,0,0.7152784,3
0,1.8439469,1.2231413,0.8224155,1.8788359,2.0334432,0,0,0,0.006507203,0,0,0,0.7918272,3
0,1.5920577,1.0432047,0.7197419,1.6005762,1.7237302,0,0,0,0,0,0,0,0.6735858,3
0,1.295135,0.8397755,0.58778656,1.32287,1.4203221,0,0,0,0,0,0,0,0.5698943,3
0,1.5267663,0.9905281,0.6612705,1.5618429,1.6817808,0,0,0,0,0,0,0,0.6559676,3
0,2.127716,1.4226164,0.9271835,2.1989563,2.3897471,0,0,0,0.038190365,0,0,0,0.92589825,3
0,2.4353597,1.6349242,1.0452429,2.523465,2.748573,0,0,0,0.0707901,0,0,0,1.0553,3
0,2.483335,1.6745093,1.0713227,2.584717,2.8184054,0,0,0,0.07395661,0,0,0,1.0871229,3
0,2.3873847,1.5953391,1.0191635,2.4622133,2.6787405,0,0,0,0.0676236,0,0,0,1.0234773,3
0,2.1776729,1.4588172,0.96100444,2.2325492,2.425686,0,0,0,0.038909063,0,0,0,0.9378851,3
0,2.2256482,1.4984022,0.987084,2.2938008,2.4955184,0,0,0,0.04207559,0,0,0,0.969708,3
0,2.1776729,1.4588172,0.96100444,2.2325492,2.425686,0,0,0,0.038909063,0,0,0,0.9378851,3
0,1.9693213,1.3138154,0.88142985,2.0069528,2.1757867,0,0,0,0.01677674,0,0,0,0.8460782,3
0,2.0172963,1.3534003,0.9075094,2.0682044,2.245619,0,0,0,0.019943267,0,0,0,0.8779009,3
0,2.0172963,1.3534003,0.9075094,2.0682044,2.245619,0,0,0,0.019943267,0,0,0,0.8779009,3
0,1.2052407,0.7825194,0.56635725,1.2226707,1.3101487,0,0,0,0,0,0,0,0.53342944,3
